occupancy,ILP,intensity,reuse_ratio,ld_coalesce,L2_hit_rate,L1_hit_rate,branch_eff,pwr_avg
0.062422,3.12,3.62,0.54,0.08,91.3,16.29,98.44,56.248
0.493527,18.24,4.67,0.54,0.18,97.52,26.95,98.92,54.012
0.493527,2.39,0.95,0.69,0.18,93.2,14.38,99.94,49.647
0.02898,6.25,2.91,0.01,0.13,78.09,18.63,98.77,62.41
0.493527,7.76,2.24,1.08,0.18,78.73,4.24,99.6,49.535
0.07517,6.11,4.6,0.01,0.17,100.0,20.0,100.0,46.444
0.493527,10.28,0.78,0.42,0.25,98.04,3.35,99.89,59.057
0.077573,6.43,1.86,8.27,0.15,100.0,28.21,99.61,57.501
0.083847,3.54,2.71,0.01,0.18,100.0,0.8,99.53,46.444
0.225816,8.36,0.4,1.54,0.12,97.16,18.95,99.86,46.707
0.108377,2.23,1.59,0.01,0.11,95.69,16.51,99.54,64.08
0.097241,1.51,1.45,1.18,0.11,98.2,14.35,99.95,58.533
0.07621,4.43,2.62,0.1,0.1,96.02,33.94,99.95,58.119
0.221153,2.2,3.38,0.5,0.06,100.0,1.45,98.73,53.967
0.050555,7.21,2.15,0.41,0.2,100.0,22.02,99.68,56.952
0.22229,0.63,2.14,0.16,0.1,83.71,22.75,99.7,53.337
0.25629,5.54,0.92,0.01,0.14,83.6,0.8,99.96,57.717
0.074894,2.94,4.79,0.01,0.07,94.97,18.43,99.9,58.588
0.493527,8.84,2.68,0.34,0.17,98.3,9.19,99.92,62.159
0.078888,20.39,2.85,0.38,0.1,98.11,10.23,99.9,62.531
0.12439,9.04,0.59,0.12,0.11,93.61,25.88,98.99,64.08
0.441186,9.95,0.01,0.57,0.15,99.01,26.58,99.93,58.749
0.191572,2.77,2.54,8.84,0.14,98.28,0.8,99.45,55.465
0.189724,9.41,1.89,5.12,0.08,93.66,21.93,99.33,53.895
0.396823,0.63,2.15,0.07,0.07,100.0,13.34,99.82,49.053
0.471478,12.43,3.01,0.57,0.08,96.8,19.62,99.9,50.634
0.016021,13.72,2.78,0.01,0.23,100.0,19.95,99.91,49.679
0.2531,5.75,3.26,0.56,0.06,100.0,24.45,99.62,54.322
0.43557,13.27,2.13,0.01,0.11,84.82,37.82,100.0,54.118
0.016021,9.48,1.18,0.68,0.09,94.08,26.56,99.03,46.595
0.17665,6.97,1.09,0.01,0.12,92.56,3.53,99.97,59.316
0.393428,4.19,0.54,0.01,0.08,100.0,31.63,100.0,64.08
0.026566,3.19,4.24,0.09,0.18,52.08,2.09,98.68,56.33
0.402563,0.89,0.71,0.61,0.1,82.65,20.05,99.88,55.549
0.219291,3.97,0.88,3.07,0.08,98.74,10.84,99.36,54.23
0.311013,0.75,0.39,1.08,0.11,100.0,19.96,99.37,46.444
0.016021,3.73,3.23,0.7,0.08,77.72,12.92,98.84,46.77
0.016021,7.38,0.82,1.17,0.07,94.17,2.52,99.54,55.941
0.152589,6.63,2.22,0.67,0.06,99.61,24.69,98.59,63.6
0.131542,20.39,3.61,0.31,0.21,64.96,12.49,99.31,54.496
0.059083,6.23,2.03,0.12,0.14,92.17,13.04,99.96,52.665
0.493527,9.65,1.23,0.83,0.09,93.29,8.72,99.39,61.42
0.01634,1.95,1.23,0.01,0.12,98.31,21.51,100.0,63.881
0.048193,3.14,1.25,0.14,0.25,99.74,18.31,99.96,47.109
0.293797,3.84,0.18,0.81,0.14,100.0,19.45,99.99,46.798
0.029836,2.79,0.01,0.99,0.25,93.42,10.55,99.05,56.996
0.031012,3.71,3.5,3.52,0.11,94.47,3.13,99.89,64.08
0.081995,0.63,1.27,0.22,0.09,95.41,42.42,99.98,50.264
0.165587,6.29,5.65,1.58,0.08,99.49,32.95,99.89,54.56
0.083149,3.44,1.23,1.45,0.07,96.2,4.14,99.34,47.027
0.062949,7.65,1.18,0.01,0.14,94.94,33.96,99.98,55.939
0.055984,8.83,1.12,0.51,0.1,100.0,27.59,100.0,59.246
0.056589,6.23,2.23,0.01,0.1,89.73,4.88,100.0,46.444
0.091494,3.43,0.99,1.5,0.07,99.42,12.53,99.9,49.701
0.04824,6.71,1.76,1.41,0.19,100.0,10.23,99.96,59.077
0.10297,10.87,3.9,0.84,0.12,86.74,8.2,99.25,58.735
0.048593,2.67,0.57,3.44,0.2,96.99,16.0,100.0,64.08
0.016021,4.35,0.8,0.3,0.13,94.46,22.12,99.84,46.444
0.10403,9.88,0.93,0.98,0.14,98.91,5.66,100.0,51.781
0.101058,3.15,0.81,0.01,0.07,99.64,18.71,100.0,54.951
0.257655,12.11,0.62,0.62,0.24,83.8,9.34,99.45,62.01
0.222918,20.39,2.19,1.23,0.08,100.0,31.22,100.0,53.249
0.016021,1.43,4.16,0.01,0.11,100.0,9.39,100.0,55.745
0.077989,3.85,1.52,0.57,0.12,52.08,8.98,99.78,63.359
0.08127,4.2,5.51,0.31,0.14,100.0,2.06,100.0,60.848
0.215745,8.69,1.36,0.01,0.06,96.65,34.1,99.4,48.647
0.493527,20.39,0.78,1.15,0.18,95.17,18.02,99.83,54.145
0.316575,6.54,1.22,0.69,0.06,99.52,16.18,100.0,50.657
0.324418,3.62,1.36,0.55,0.22,99.33,12.2,99.62,58.769
0.041072,8.95,1.06,0.01,0.13,98.31,24.14,100.0,54.91
0.137199,10.2,0.48,1.0,0.06,97.27,14.18,98.55,48.33
0.075294,1.25,1.0,1.33,0.09,92.02,16.88,99.98,55.673
0.09088,2.45,2.71,0.59,0.07,98.2,18.9,99.95,49.82
0.02875,20.39,3.92,0.42,0.08,96.45,0.8,100.0,46.444
0.068131,8.69,4.79,0.63,0.13,95.53,7.11,99.57,46.922
0.08626,1.49,0.9,4.24,0.09,100.0,21.75,99.99,60.961
0.034902,15.2,2.4,1.75,0.1,100.0,30.73,99.94,62.363
0.147691,9.49,3.91,0.01,0.12,89.94,11.14,98.87,58.036
0.176954,20.39,1.1,0.91,0.08,92.24,22.61,99.86,63.743
0.089313,10.35,0.31,0.21,0.09,99.15,8.13,100.0,56.517
0.016021,7.68,0.14,6.88,0.06,78.29,22.81,99.78,58.529
0.239185,3.54,2.61,2.29,0.11,98.19,31.18,99.42,46.444
0.1397,3.3,0.37,0.01,0.1,75.36,16.34,100.0,64.08
0.325448,1.7,2.02,0.69,0.09,97.8,33.3,100.0,46.444
0.157262,10.23,1.47,0.32,0.1,95.97,15.21,99.91,49.766
0.318048,7.47,0.01,1.04,0.09,91.67,20.69,100.0,59.479
0.088954,1.31,1.96,1.23,0.11,98.66,29.04,99.83,49.508
0.033254,10.61,2.21,0.01,0.14,88.13,11.11,99.08,53.67
0.493527,3.06,2.61,2.36,0.18,97.32,16.29,98.44,57.099
0.186722,6.95,2.53,0.01,0.11,85.86,23.81,99.89,58.185
0.053405,7.14,0.48,0.01,0.1,100.0,13.62,99.6,57.736
0.312412,7.52,2.82,0.26,0.12,100.0,42.42,100.0,64.08
0.109962,6.6,0.14,1.45,0.11,75.12,4.32,99.88,54.423
0.073357,5.2,2.68,10.48,0.06,100.0,35.38,99.02,64.08
0.204839,13.33,6.19,3.94,0.11,100.0,32.41,100.0,62.803
0.057029,7.23,3.24,0.01,0.13,99.08,0.8,99.85,59.124
0.117861,1.17,0.42,0.01,0.22,89.28,5.09,100.0,53.183
0.245845,8.93,0.95,0.01,0.17,93.99,23.44,99.97,55.298
0.453366,1.07,1.91,0.01,0.08,100.0,2.29,99.88,46.444
0.05883,14.33,2.67,0.01,0.06,98.12,25.17,99.87,59.093
0.177681,8.21,1.58,1.56,0.11,93.18,12.85,98.91,58.458
0.342237,10.04,0.01,1.28,0.19,94.03,15.95,100.0,53.459
0.196848,2.0,0.06,0.12,0.08,95.61,17.04,99.86,60.248
0.091393,10.44,1.3,0.51,0.19,93.73,8.19,99.65,49.418
0.235211,5.1,1.27,0.79,0.11,96.33,23.73,99.92,59.128
0.359841,6.79,2.99,0.64,0.12,89.42,29.06,98.79,61.422
0.046508,16.64,2.3,0.01,0.21,98.5,20.87,99.95,46.444
0.283158,12.14,2.42,0.01,0.06,94.64,23.01,99.81,58.971
0.107536,7.27,1.08,0.01,0.16,98.42,3.81,99.49,47.982
0.240642,10.49,2.98,0.05,0.16,97.41,20.72,100.0,49.743
0.225438,11.75,2.25,0.01,0.12,98.26,40.19,99.83,58.303
0.065633,6.86,6.19,0.02,0.12,100.0,18.61,100.0,59.675
0.080962,0.63,0.01,0.01,0.07,94.35,23.03,99.86,47.282
0.054476,2.59,0.01,1.65,0.19,95.28,24.14,99.09,46.444
0.089576,9.84,3.22,0.3,0.23,94.87,14.06,98.44,48.388
0.064847,9.54,1.8,0.01,0.11,100.0,27.55,100.0,55.521
0.204296,20.39,0.31,0.08,0.15,100.0,36.38,99.93,61.814
0.077458,3.56,1.99,0.59,0.08,99.07,38.07,99.91,53.807
0.058148,7.01,2.33,9.83,0.06,96.3,22.24,99.99,59.569
0.035951,6.65,3.0,1.58,0.07,99.66,7.05,99.47,58.035
0.044915,6.71,1.35,0.64,0.09,95.84,22.0,99.94,53.081
0.112627,17.04,1.17,4.21,0.17,95.55,32.24,98.93,50.157
0.064303,3.95,2.71,0.01,0.13,88.0,17.41,100.0,54.17
0.21874,2.89,5.42,0.52,0.14,92.42,0.8,100.0,61.278
0.04977,2.49,1.05,0.01,0.14,91.56,28.73,99.99,56.902
0.288291,2.38,5.17,4.67,0.1,91.11,26.15,98.49,56.148
0.265419,2.91,0.67,0.95,0.06,94.59,15.65,99.2,62.638
0.097351,3.29,3.13,0.66,0.2,96.58,15.99,99.97,55.592
0.235549,3.23,1.24,0.01,0.13,97.33,23.04,99.59,57.468
0.147675,2.16,6.19,0.49,0.09,94.18,26.25,98.9,61.758
0.108748,3.57,2.47,0.61,0.1,98.8,12.95,99.9,60.337
0.119875,10.51,1.22,0.2,0.17,97.36,14.94,100.0,62.624
0.2216,20.39,0.84,0.04,0.07,97.74,21.19,99.54,57.056
0.034872,8.49,1.18,0.43,0.17,100.0,4.88,99.97,55.457
0.027487,9.8,1.44,0.01,0.25,100.0,8.12,98.84,48.539
0.112049,3.53,2.89,1.47,0.08,92.78,20.95,100.0,46.444
0.078049,7.4,0.72,0.25,0.12,99.67,15.18,100.0,47.331
0.258595,3.98,1.68,0.01,0.22,92.97,12.28,99.87,59.576
0.166336,2.08,4.67,0.01,0.21,100.0,11.29,99.09,63.017
0.045528,0.63,0.31,0.01,0.08,89.11,22.98,99.85,51.125
0.493527,18.68,1.91,0.17,0.08,96.88,27.53,100.0,47.149
0.030221,1.65,0.78,0.39,0.09,97.8,10.23,99.9,47.026
0.049833,7.82,2.91,0.48,0.07,91.43,29.48,100.0,49.673
0.291919,10.01,2.03,0.01,0.08,94.6,12.19,99.99,57.449
0.133552,9.27,1.49,0.08,0.06,97.7,14.41,99.91,46.444
0.059814,3.47,0.01,2.32,0.19,99.34,8.48,100.0,55.199
0.094535,6.46,0.39,1.4,0.11,88.97,19.73,99.85,62.32
0.30994,2.7,0.61,0.01,0.19,97.68,16.66,100.0,47.012
0.196284,2.17,2.32,0.01,0.07,100.0,9.97,99.94,57.066
0.147079,9.22,1.32,1.1,0.11,88.83,26.53,99.9,58.748
0.493527,17.95,6.19,3.05,0.11,100.0,14.49,99.84,64.08
0.06092,3.56,3.44,0.98,0.14,97.4,18.8,100.0,46.444
0.124806,9.55,0.6,1.34,0.11,100.0,7.38,99.83,57.1
0.26384,6.48,1.09,2.7,0.08,99.0,22.23,99.88,57.112
0.168669,5.57,1.03,6.82,0.11,96.42,23.59,99.97,46.444
0.032279,4.82,0.39,0.01,0.08,100.0,7.07,99.67,49.1
0.281179,12.12,0.6,0.33,0.14,99.27,7.01,99.5,56.666
0.089723,9.07,1.05,0.01,0.12,91.9,0.8,100.0,55.651
0.066679,3.55,6.18,0.01,0.07,100.0,7.57,99.99,59.892
0.124858,2.75,1.53,1.05,0.13,99.71,15.64,100.0,46.842
0.493527,4.11,4.13,1.33,0.18,92.87,10.05,100.0,55.781
0.032691,7.35,0.7,0.24,0.09,86.34,35.51,99.58,61.93
0.43663,3.29,0.39,0.01,0.14,76.37,8.22,100.0,46.444
0.095168,6.42,5.38,0.6,0.08,97.78,19.6,100.0,46.671
0.039119,7.41,2.38,0.01,0.1,96.61,28.74,99.5,58.682
0.102112,9.87,1.54,0.88,0.07,100.0,17.06,98.84,64.08
0.099764,0.63,0.53,0.52,0.16,100.0,3.87,99.21,63.693
0.0848,5.6,1.4,0.37,0.08,96.74,30.57,99.66,60.427
0.087682,20.08,2.58,1.06,0.15,97.66,12.1,99.18,56.87
0.43323,8.09,0.91,0.01,0.19,88.04,17.18,99.73,55.001
0.242602,4.58,1.45,1.55,0.09,98.07,35.84,99.92,47.389
0.493527,2.87,2.3,0.01,0.07,99.38,19.58,99.98,46.444
0.104389,2.8,0.69,4.38,0.08,96.63,16.23,99.97,54.444
0.016021,2.75,2.55,0.01,0.08,100.0,32.38,99.95,57.618
0.065085,12.69,2.45,0.01,0.06,94.59,20.96,99.38,63.751
0.091979,3.83,4.52,3.63,0.11,97.11,29.46,100.0,61.777
0.037556,0.63,0.71,0.01,0.08,98.93,19.19,99.54,63.538
0.020116,3.37,1.08,0.01,0.18,98.72,3.5,99.31,54.663
0.493527,2.05,1.14,0.01,0.06,100.0,6.08,98.92,51.005
0.180575,10.81,0.01,0.01,0.09,99.89,28.14,99.89,46.444
0.046727,20.39,2.38,0.93,0.1,90.8,6.67,100.0,46.659
0.094915,4.09,1.76,1.39,0.21,90.01,2.71,99.44,63.125
0.296228,3.37,4.06,0.12,0.21,100.0,2.13,98.55,47.761
0.148904,11.66,0.8,0.01,0.22,97.44,10.91,99.05,58.057
0.213004,6.86,2.25,0.35,0.09,93.69,13.45,99.9,62.183
0.075495,6.42,1.17,0.25,0.11,100.0,15.45,100.0,48.46
0.170232,4.18,3.34,0.72,0.11,98.9,12.13,99.97,53.909
0.084659,20.39,0.31,3.12,0.15,98.36,10.63,99.49,49.196
0.068407,7.59,5.58,0.56,0.08,100.0,1.55,99.87,54.899
0.040372,3.73,3.06,0.01,0.18,97.33,3.71,100.0,54.285
0.466952,20.39,0.38,1.04,0.23,96.5,27.08,99.25,63.672
0.276476,0.63,3.13,0.77,0.06,97.35,0.8,99.89,60.542
0.2202,6.84,3.97,0.27,0.06,99.98,16.69,100.0,46.664
0.069679,20.39,1.92,2.05,0.15,100.0,9.46,99.99,59.606
0.279387,9.28,0.92,0.61,0.13,100.0,9.43,99.95,55.434
0.220914,10.21,2.3,1.68,0.12,74.29,9.91,99.85,64.08
0.13424,20.39,5.36,1.51,0.15,96.07,12.61,99.92,57.824
0.037798,7.49,3.24,0.01,0.08,96.44,13.29,99.43,47.645
0.049801,18.41,6.02,0.01,0.12,95.08,20.92,99.72,61.451
0.493527,1.58,1.45,1.22,0.16,98.8,4.92,99.38,51.335
0.096633,1.77,1.02,0.97,0.08,100.0,23.71,99.64,47.927
0.493527,20.39,0.88,2.3,0.16,99.62,5.82,99.43,46.444
0.305747,8.79,0.13,0.01,0.11,95.41,26.32,99.94,58.007
0.319626,6.47,5.29,1.95,0.17,100.0,10.4,99.72,47.33
0.298236,11.97,1.53,0.48,0.07,89.46,29.92,99.91,62.992
0.061902,20.39,1.11,0.54,0.07,94.98,31.8,100.0,55.82
0.183478,8.17,1.06,0.77,0.16,98.71,26.67,99.91,47.486
0.073179,6.69,1.23,1.18,0.17,92.36,0.95,99.09,47.338
0.493527,11.42,1.03,1.09,0.07,96.86,22.24,99.09,51.72
0.016021,0.63,2.49,0.03,0.2,98.46,16.63,99.99,54.638
0.093636,2.04,0.42,1.35,0.09,98.71,9.58,99.93,46.721
0.225754,7.67,0.15,1.2,0.16,100.0,7.82,99.32,57.207
0.493527,7.32,2.33,0.38,0.08,94.13,34.27,98.9,59.946
0.0706,4.62,0.23,0.53,0.11,100.0,19.71,99.99,46.444
0.065556,2.18,0.34,0.01,0.06,92.0,29.98,99.95,63.102
0.016021,9.51,0.86,0.03,0.08,97.96,24.05,100.0,57.111
0.056309,2.73,0.78,0.01,0.1,93.0,33.59,99.97,57.796
0.493527,9.01,3.55,0.66,0.09,94.78,6.8,99.49,50.776
0.066891,3.94,0.77,0.04,0.11,96.14,2.97,100.0,60.208
0.138582,6.61,0.32,0.3,0.08,88.96,18.8,99.49,59.599
0.096095,10.48,3.22,0.28,0.08,92.53,13.69,100.0,54.701
0.052754,9.04,0.89,7.9,0.1,97.75,9.65,99.82,64.08
0.016021,0.63,4.27,0.89,0.08,100.0,0.8,99.87,57.655
0.408171,6.93,1.91,0.72,0.09,84.45,35.14,99.43,53.487
0.169272,2.93,0.93,0.59,0.1,100.0,8.06,99.95,59.269
0.070139,2.11,0.06,0.75,0.08,94.12,32.17,99.91,61.175
0.190196,10.5,1.09,1.28,0.1,54.44,17.9,99.8,46.444
0.016021,20.04,1.21,0.38,0.06,98.37,2.52,100.0,61.312
0.275812,15.32,2.67,0.52,0.15,97.78,19.53,100.0,46.444
0.043388,20.39,2.05,0.77,0.08,99.48,19.41,99.84,57.835
0.055665,0.63,5.4,0.01,0.17,99.7,14.49,99.53,62.302
0.387374,4.08,2.6,0.01,0.08,96.9,10.75,99.98,60.276
0.129199,5.83,5.17,0.01,0.1,94.99,28.41,99.05,54.958
0.247246,20.39,6.03,0.08,0.09,97.35,29.8,99.9,62.121
0.100594,20.39,4.06,0.73,0.22,52.08,11.57,99.87,59.607
0.444934,1.87,0.79,0.65,0.22,98.35,28.54,99.57,46.463
0.108293,5.88,4.17,0.13,0.13,87.7,17.61,99.86,54.033
0.319112,17.5,1.07,5.71,0.1,75.04,31.88,99.94,53.881
0.313499,2.57,1.2,0.01,0.08,92.59,19.87,100.0,46.444
0.27456,4.96,0.88,1.17,0.12,99.8,42.2,99.05,48.587
0.063635,18.94,0.69,0.01,0.13,77.79,21.69,99.97,57.823
0.04346,20.39,0.38,0.01,0.12,99.13,7.41,99.54,62.894
0.054672,4.75,2.16,0.01,0.09,91.37,21.46,99.69,47.626
0.170056,17.84,1.76,2.38,0.06,97.12,21.4,99.87,54.073
0.066431,4.17,0.48,0.47,0.08,99.33,5.79,99.4,49.96
0.016021,1.21,2.54,0.38,0.16,99.16,5.93,99.1,56.349
0.285041,19.12,1.71,0.37,0.1,93.01,27.95,99.92,54.754
0.040954,2.47,2.05,0.06,0.17,88.52,12.45,99.1,58.05
0.091856,6.72,1.2,9.09,0.18,85.92,23.78,99.5,55.937
0.152028,0.86,0.39,0.01,0.06,95.91,12.16,100.0,61.087
0.299921,6.59,2.07,5.58,0.11,93.46,15.85,100.0,60.967
0.094993,8.15,4.8,1.9,0.14,71.17,2.01,99.17,46.444
0.075498,4.23,1.61,0.01,0.15,100.0,27.6,100.0,46.444
0.098117,2.02,2.17,0.45,0.13,96.51,11.94,99.86,59.657
0.016021,4.14,0.08,1.63,0.15,99.5,38.29,99.96,53.048
0.356841,20.39,3.1,7.72,0.13,96.84,33.94,99.85,54.515
0.06789,5.4,1.42,0.41,0.13,100.0,18.32,99.99,58.151
0.493527,1.73,0.14,7.69,0.09,97.09,30.39,99.91,63.9
0.0697,1.78,5.58,0.01,0.06,96.78,20.06,99.98,56.625
0.069607,20.39,3.72,3.05,0.08,98.4,26.39,99.98,56.797
0.493527,8.74,2.37,0.11,0.17,98.49,13.7,99.66,58.331
0.035896,3.25,1.56,0.01,0.13,97.96,17.86,99.86,60.306
0.031488,0.63,1.3,1.55,0.06,96.59,19.46,99.9,57.333
0.091852,4.15,0.23,0.01,0.11,97.49,30.55,99.49,55.856
0.097547,9.31,2.33,1.08,0.07,100.0,17.66,99.94,53.208
0.085007,2.22,2.07,0.27,0.07,99.18,17.94,99.14,54.991
0.089876,14.79,4.31,1.16,0.06,100.0,0.8,99.4,59.917
0.028976,2.49,0.67,0.99,0.13,96.52,25.2,99.99,57.674
0.493527,9.97,0.57,1.4,0.1,94.63,18.75,99.54,59.145
0.114311,2.28,3.24,0.97,0.08,99.52,27.61,98.44,57.487
0.238147,5.87,0.39,0.01,0.11,100.0,17.13,99.85,57.671
0.271247,9.59,2.22,0.01,0.13,96.17,10.93,99.93,47.117
0.090306,11.04,0.45,1.03,0.13,98.88,17.31,99.66,46.571
0.298613,3.41,1.95,0.08,0.2,55.99,15.54,99.45,64.08
0.101851,4.09,0.82,0.72,0.12,81.84,8.69,99.42,47.445
0.180749,5.68,4.25,0.68,0.12,98.08,0.8,99.64,49.621
0.023882,0.69,4.2,0.76,0.12,96.36,19.0,99.85,54.877
0.173989,3.52,0.49,0.18,0.19,89.16,14.29,99.9,53.462
0.051193,9.73,4.19,0.75,0.11,95.56,30.09,99.23,64.08
0.089899,20.39,1.57,5.04,0.14,97.0,27.19,99.99,61.594
0.068326,20.39,1.17,0.01,0.18,98.49,30.27,99.93,63.565
0.137745,3.72,4.24,1.4,0.09,100.0,8.78,99.95,59.139
0.412528,2.85,0.76,7.15,0.14,98.07,6.82,99.92,64.08
0.273177,1.48,0.83,1.37,0.08,95.62,37.16,99.77,54.643
0.459743,1.26,0.01,0.01,0.11,89.32,13.59,98.95,60.799
0.222915,4.97,2.4,1.57,0.08,100.0,4.88,99.89,64.08
0.271999,2.97,0.92,0.9,0.11,72.02,26.53,98.99,61.068
0.207768,5.07,2.69,0.57,0.12,97.45,18.95,99.9,59.694
0.177027,3.28,0.67,0.01,0.1,95.72,16.49,99.35,58.302
0.049019,8.42,5.26,2.7,0.09,94.15,3.77,99.95,57.301
0.460655,3.45,3.06,0.47,0.09,93.07,24.58,100.0,48.562
0.243003,0.78,3.88,0.01,0.14,90.93,35.53,98.75,55.905
0.493527,4.96,1.01,0.8,0.09,95.45,16.86,99.25,56.704
0.075692,10.45,1.35,1.37,0.18,100.0,10.45,99.97,58.756
0.237787,4.21,0.28,0.01,0.17,94.29,1.74,99.91,48.325
0.08546,10.0,3.26,0.01,0.16,100.0,21.73,100.0,52.132
0.035247,0.78,3.43,1.24,0.17,98.48,10.32,99.82,58.184
0.282096,5.85,5.81,1.05,0.24,100.0,7.52,99.34,53.792
0.095553,12.97,0.61,0.04,0.16,79.14,14.2,99.38,61.614
0.20007,6.96,0.48,0.29,0.12,91.11,1.38,99.91,56.463
0.016021,12.18,0.44,0.77,0.1,99.21,20.91,100.0,54.087
0.035233,1.25,3.89,0.01,0.13,84.04,9.64,99.31,54.36
0.036849,12.53,4.23,0.55,0.13,98.96,28.59,99.53,57.762
0.274182,7.78,5.32,0.01,0.12,96.49,34.77,99.89,59.687
0.268603,8.39,3.73,0.2,0.2,99.76,11.86,100.0,53.124
0.021466,5.96,1.67,0.54,0.14,94.76,22.11,99.96,63.474
0.155677,6.66,2.35,5.64,0.2,97.58,26.15,99.93,53.513
0.146555,5.32,1.28,9.19,0.13,99.78,22.15,99.87,64.08
0.088605,9.17,1.21,0.01,0.09,99.41,27.39,99.94,55.216
0.060086,2.38,1.7,0.59,0.11,100.0,25.24,100.0,55.987
0.095275,20.39,1.23,0.14,0.12,96.49,6.18,99.95,57.656
0.039133,4.91,1.62,0.01,0.06,94.48,8.11,100.0,53.88
0.104171,1.66,0.73,1.52,0.09,99.0,7.14,100.0,63.496
0.090756,4.81,1.06,7.81,0.08,97.33,11.17,100.0,60.016
0.089077,9.11,2.21,0.01,0.08,97.49,27.8,99.92,46.444
0.053914,7.31,1.81,0.01,0.11,99.16,0.8,99.6,58.744
0.182447,8.47,3.39,0.34,0.09,100.0,10.94,99.66,58.417
0.171167,7.88,1.52,0.01,0.06,100.0,11.27,99.87,62.148
0.493527,15.83,2.3,1.02,0.16,80.55,6.77,98.92,46.572
0.036176,10.38,0.74,0.01,0.14,98.5,6.07,99.85,56.651
0.190842,9.59,5.31,0.66,0.23,95.61,0.8,99.33,64.08
0.016021,0.63,4.2,0.01,0.06,99.64,12.31,99.37,55.815
0.373599,10.26,1.8,0.73,0.19,97.92,4.91,99.99,60.26
0.078438,3.79,2.7,0.01,0.09,99.07,5.07,99.32,64.08
0.043886,20.39,4.74,0.97,0.13,95.65,15.29,100.0,59.729
0.155999,10.72,5.15,2.89,0.1,91.94,21.0,100.0,59.083
0.04584,6.68,0.76,1.08,0.08,100.0,4.12,100.0,64.08
0.088849,1.05,1.97,0.01,0.08,95.86,21.16,99.92,54.147
0.105785,11.36,2.05,7.07,0.13,98.88,36.86,100.0,46.444
0.130073,6.11,0.01,0.78,0.18,99.13,21.36,99.74,60.186
0.073985,17.66,0.35,0.76,0.15,100.0,29.88,98.44,60.291
0.493527,20.39,2.56,0.45,0.12,96.5,1.0,99.85,63.598
0.125045,8.52,1.31,5.58,0.08,98.48,17.9,100.0,59.535
0.141493,11.73,1.76,0.01,0.12,78.78,20.96,99.92,52.944
0.079119,8.72,3.98,4.88,0.06,78.67,25.04,99.88,61.514
0.206139,2.16,0.68,0.01,0.1,99.62,22.53,99.87,59.001
0.305285,8.13,1.1,1.0,0.11,88.49,10.36,100.0,56.384
0.163624,11.61,0.81,0.14,0.11,91.43,8.15,99.18,63.595
0.290838,3.88,1.11,0.74,0.07,95.18,25.95,98.7,55.82
0.162281,6.68,1.24,1.76,0.06,90.46,24.99,99.58,55.623
0.075024,3.93,2.55,0.98,0.12,100.0,12.82,99.87,58.497
0.020835,2.56,1.16,0.07,0.12,94.72,24.23,99.91,47.03
0.284091,6.64,0.48,0.56,0.11,95.99,5.22,99.88,52.427
